Element,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Isotopes,27Al,46Ti,48Ti,56Fe,89Y,90Zr,139La,140Ce,165Ho,177Hf+178Hf+179Hf+180Hf,206Pb+207Pb+208Pb,232Th,238U
Sensitivity (TofCts/g),8.93E+15,3.99E+15,5.39E+16,1.17E+17,3.01E+17,1.70E+17,5.47E+17,5.35E+17,2.76E+17,2.67E+17,3.00E+17,2.55E+17,2.83E+17
MedianSignal (TofCts),NaN,1.41E+01,NaN,3.60E+01,NaN,7.99E+01,NaN,NaN,NaN,7.78E+00,NaN,NaN,NaN
Avg Lc (TofCts),8.02,11.97,7.29,18.43,6.2,4.5,5.57,5.52,5.3,3.97,5.46,4.46,4.66
Avg Bkgd (TofCts),0.09,0.963,0.034,4.331,0.04,0.09,0.008,0.006,0.01,0.027,0.026,0,0.003
DynamicAlpha,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,3.20E-05,1.00E-07,1.00E-07,1.00E-07,1.00E-05,1.00E-07,1.00E-07,1.00E-07
Filename,00h03m02s_Zr_ENG 75Kx.h5,,,,,,,,,,,,
spTime (s),120.226,,,,,,,,,,,,
qPlasma (mL/s),0.000063,,,,,,,,,,,,
,,,,,,,,,,,,,
Particle Signals (TofCts),,,,,,,,,,,,,
Comp,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Zr+Hf,0,0,0,0,0,184.492,0,0,0,11.239,0,0,0
Zr+Hf,0,0,0,0,0,136.695,0,0,0,7.344,0,0,0
Zr,0,0,0,0,0,42.004,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,183.55,0,0,0,5.311,0,0,0
Zr+Hf,0,0,0,0,0,201.184,0,0,0,4.551,0,0,0
Zr+Hf,0,0,0,0,0,654.384,0,0,0,7.954,0,0,0
Zr,0,0,0,0,0,27.474,0,0,0,0,0,0,0
Zr,0,0,0,0,0,75.708,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,224.238,0,0,0,10.802,0,0,0
Zr,0,0,0,0,0,51.555,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,322.998,0,0,0,10.741,0,0,0
Zr+Hf,0,0,0,0,0,319.061,0,0,0,15.115,0,0,0
Zr,0,0,0,0,0,42.772,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,178.827,0,0,0,8.662,0,0,0
Zr,0,0,0,0,0,16.109,0,0,0,0,0,0,0
Zr,0,0,0,0,0,70.394,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,135.552,0,0,0,8.578,0,0,0
Zr+Hf,0,0,0,0,0,225.677,0,0,0,6.332,0,0,0
Zr,0,0,0,0,0,65.024,0,0,0,0,0,0,0
Zr,0,0,0,0,0,54.568,0,0,0,0,0,0,0
Zr,0,0,0,0,0,14.501,0,0,0,0,0,0,0
Zr,0,0,0,0,0,52.373,0,0,0,0,0,0,0
Zr,0,0,0,0,0,12.431,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,154.062,0,0,0,6.299,0,0,0
Zr+Hf,0,0,0,0,0,181.541,0,0,0,10.207,0,0,0
Zr+Hf,0,0,0,0,0,93.488,0,0,0,3.977,0,0,0
Zr,0,0,0,0,0,7.631,0,0,0,0,0,0,0
Zr,0,0,0,0,0,11.997,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,267.553,0,0,0,5.378,0,0,0
Zr+Hf,0,0,0,0,0,67.861,0,0,0,6.586,0,0,0
Zr+Hf,0,0,0,0,0,528.564,0,0,0,10.934,0,0,0
Zr,0,0,0,0,0,5.788,0,0,0,0,0,0,0
Zr,0,0,0,0,0,15.528,0,0,0,0,0,0,0
Zr,0,0,0,0,0,179.603,0,0,0,0,0,0,0
Zr,0,0,0,0,0,7.958,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,117.898,0,0,0,7.736,0,0,0
Zr+Hf,0,0,0,0,0,135.025,0,0,0,5.671,0,0,0
Zr,0,0,0,0,0,36.831,0,0,0,0,0,0,0
Zr,0,0,0,0,0,11.369,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,249.249,0,0,0,9.563,0,0,0
Zr,0,0,0,0,0,91.262,0,0,0,0,0,0,0
Zr,0,0,0,0,0,110.402,0,0,0,0,0,0,0
Zr,0,0,0,0,0,45.997,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,101.56,0,0,0,6.135,0,0,0
Zr,0,0,0,0,0,56.37,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,171.925,0,0,0,6.962,0,0,0
Zr,0,0,0,0,0,5.328,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,229.01,0,0,0,8.699,0,0,0
Zr,0,0,0,0,0,18.753,0,0,0,0,0,0,0
Zr,0,0,0,0,0,38.291,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,96.502,0,0,0,5.164,0,0,0
Zr,0,0,0,0,0,15.895,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,375.205,0,0,0,9.994,0,0,0
Zr,0,0,0,0,0,17.091,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,178.162,0,0,0,7.601,0,0,0
Zr+Hf,0,0,0,0,0,57.613,0,0,0,3.956,0,0,0
Zr,0,0,0,0,0,6.089,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,272.346,0,0,0,7.741,0,0,0
Zr,0,0,0,0,0,20.395,0,0,0,0,0,0,0
Zr,0,0,0,0,0,20.517,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,204.656,0,0,0,6.244,0,0,0
Zr,0,0,0,0,0,4.588,0,0,0,0,0,0,0
Zr,0,0,0,0,0,37.606,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,404.616,0,0,0,13.236,0,0,0
Zr,0,0,0,0,0,6.364,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,143.685,0,0,0,6.302,0,0,0
Zr+Hf,0,0,0,0,0,207.005,0,0,0,6.34,0,0,0
Zr+Hf,0,0,0,0,0,351.931,0,0,0,15.767,0,0,0
Zr+Hf,0,0,0,0,0,290.904,0,0,0,7.363,0,0,0
Zr,0,0,0,0,0,35.884,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,479.936,0,0,0,11.312,0,0,0
Zr+Hf,0,0,0,0,0,373.665,0,0,0,6.97,0,0,0
Zr+Hf,0,0,0,0,0,144.07,0,0,0,4.829,0,0,0
Zr,0,0,0,0,0,56.023,0,0,0,0,0,0,0
Zr,0,0,0,0,0,56.715,0,0,0,0,0,0,0
Zr,0,0,0,0,0,82.849,0,0,0,0,0,0,0
Zr,0,0,0,0,0,12.586,0,0,0,0,0,0,0
Zr,0,0,0,0,0,25.788,0,0,0,0,0,0,0
Zr,0,0,0,0,0,69.181,0,0,0,0,0,0,0
Zr,0,0,0,0,0,167.012,0,0,0,0,0,0,0
Zr,0,0,0,0,0,145.891,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,315.212,0,0,0,4.325,0,0,0
Zr,0,0,0,0,0,75.778,0,0,0,0,0,0,0
Zr,0,0,0,0,0,70.079,0,0,0,0,0,0,0
Zr,0,0,0,0,0,30.553,0,0,0,0,0,0,0
Zr,0,0,0,0,0,33.541,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,187.399,0,0,0,4.154,0,0,0
Zr,0,0,0,0,0,8.033,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,55.999,0,0,0,5.038,0,0,0
Zr,0,0,0,0,0,27.654,0,0,0,0,0,0,0
Zr,0,0,0,0,0,6.043,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,222.906,0,0,0,6.121,0,0,0
Zr,0,0,0,0,0,20.891,0,0,0,0,0,0,0
Zr,0,0,0,0,0,86.46,0,0,0,0,0,0,0
Zr,0,0,0,0,0,51.875,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,590.599,0,0,0,10.548,0,0,0
Hf,0,0,0,0,0,0,0,0,0,9.469,0,0,0
Zr+Hf,0,0,0,0,0,1219.33,0,0,0,41.461,0,0,0
Zr+Hf,0,0,0,0,0,197.451,0,0,0,4.698,0,0,0
Zr,0,0,0,0,0,16.878,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,171.784,0,0,0,9.014,0,0,0
Zr+Hf,0,0,0,0,0,699.928,0,0,0,14.963,0,0,0
Zr+Hf,0,0,0,0,0,908.631,0,0,0,39.099,0,0,0
Zr+Hf,0,0,0,0,0,210.572,0,0,0,12.054,0,0,0
Zr+Hf,0,0,0,0,0,139.93,0,0,0,4.451,0,0,0
Zr,0,0,0,0,0,4.815,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,202.305,0,0,0,9.398,0,0,0
Zr+Hf,0,0,0,0,0,338.682,0,0,0,7.39,0,0,0
Zr+Hf,0,0,0,0,0,64.144,0,0,0,4.791,0,0,0
Zr+Hf,0,0,0,0,0,339.074,0,0,0,4.077,0,0,0
Zr,0,0,0,0,0,25.972,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,369.441,0,0,0,6.054,0,0,0
Zr+Hf,0,0,0,0,0,726.675,0,0,0,29.206,0,0,0
Zr+Hf,0,0,0,0,0,976.267,0,0,0,31.551,0,0,0
Zr,0,0,0,0,0,114.258,0,0,0,0,0,0,0
Zr,0,0,0,0,0,17.814,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,82.222,0,0,0,5.153,0,0,0
Zr,0,0,0,0,0,49.345,0,0,0,0,0,0,0
46Ti,0,14.218,0,0,0,0,0,0,0,0,0,0,0
Zr,0,0,0,0,0,104.385,0,0,0,0,0,0,0
Zr,0,0,0,0,0,34.161,0,0,0,0,0,0,0
Zr,0,0,0,0,0,14.603,0,0,0,0,0,0,0
