Element,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Isotopes,27Al,46Ti,48Ti,56Fe,89Y,90Zr,139La,140Ce,165Ho,177Hf+178Hf+179Hf+180Hf,206Pb+207Pb+208Pb,232Th,238U
Sensitivity (TofCts/g),8.93E+15,3.99E+15,5.39E+16,1.17E+17,3.01E+17,1.70E+17,5.47E+17,5.35E+17,2.76E+17,2.67E+17,3.00E+17,2.55E+17,2.83E+17
MedianSignal (TofCts),1.19E+01,1.58E+01,9.39E+00,4.53E+01,1.30E+01,4.74E+01,1.35E+01,1.47E+01,8.90E+00,1.30E+01,1.07E+01,1.27E+01,9.68E+00
Avg Lc (TofCts),7.25,12.07,7.62,15.83,5.87,4.75,5.75,6.04,5.17,4.42,6.2,3.7,4.03
Avg Bkgd (TofCts),0.125,0.996,0.058,4.812,0.163,0.126,0.148,0.196,0.024,0.03,0.157,0.028,0.023
DynamicAlpha,1.00E-06,1.00E-07,1.00E-07,1.00E-05,3.20E-06,3.20E-05,3.20E-06,3.20E-06,3.20E-07,3.20E-06,3.20E-07,1.00E-05,3.20E-06
Filename,01h07m35s_Zr_Hark_2kx.h5,,,,,,,,,,,,
spTime (s),120.226,,,,,,,,,,,,
qPlasma (mL/s),0.000063,,,,,,,,,,,,
,,,,,,,,,,,,,
Particle Signals (TofCts),,,,,,,,,,,,,
Comp,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Y+Zr+Th,0,0,0,0,7.164,134.547,0,0,0,0,0,5.716,0
Y+Zr+Ce+Th+U,0,0,0,0,18.559,28.749,0,8.475,0,0,0,189.547,7.404
Fe+Y+Zr+Ce+Hf+Pb+Th+U,0,0,0,1068.106,7.74,13006.917,0,11.348,0,72.134,7.422,110.921,4.091
Zr,0,0,0,0,0,89.258,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,193.844,0,0,0,4.609,0,0,0
Fe+Zr+La+Ce+Th,0,0,0,17.201,0,13.335,10.034,15.722,0,0,0,42.721,0
Zr,0,0,0,0,0,33.465,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,1656.649,0,0,0,0,0,7.332,0
Th,0,0,0,0,0,0,0,0,0,0,0,11.56,0
Zr+Hf+Th,0,0,0,0,0,165.215,0,0,0,7.146,0,10.156,0
Zr+Th,0,0,0,0,0,39.844,0,0,0,0,0,13.403,0
Fe+Zr+Th,0,0,0,37.2,0,7.779,0,0,0,0,0,4.225,0
Fe+Th,0,0,0,30.591,0,0,0,0,0,0,0,5.391,0
Fe+Zr+Th,0,0,0,219.646,0,28.825,0,0,0,0,0,15.719,0
Zr,0,0,0,0,0,5.409,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,8.373,0,0,0,0,0,14.401,0
Ce,0,0,0,0,0,0,0,14.413,0,0,0,0,0
Th,0,0,0,0,0,0,0,0,0,0,0,5.371,0
Zr,0,0,0,0,0,22.164,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,25.865,0,9.461,0,0,0,0,0,3.976,0
Zr+La+Ce+Hf+Th,0,0,0,0,0,177.256,8.439,12.455,0,4.842,0,8.856,0
48Ti+Zr,0,0,37.33,0,0,19.943,0,0,0,0,0,0,0
Zr,0,0,0,0,0,15.351,0,0,0,0,0,0,0
Zr+Ce+Th,0,0,0,0,0,12.052,0,6.389,0,0,0,6.379,0
Fe+Y+Zr+La+Ce+Hf+Pb+Th+U,0,0,0,405.181,24.161,3156.108,11.07,19.947,0,89.592,16.298,104.094,18.267
Fe+Zr+Th,0,0,0,24.256,0,35.425,0,0,0,0,0,9.586,0
Zr,0,0,0,0,0,22.034,0,0,0,0,0,0,0
Zr+Ce+Hf+Th,0,0,0,0,0,269.981,0,6.526,0,9.324,0,6.273,0
Fe+Zr+Th,0,0,0,18.114,0,12.526,0,0,0,0,0,6.006,0
Fe+Zr+Ce+Hf+Th,0,0,0,25.999,0,168.026,0,7.048,0,8.47,0,16.784,0
Zr,0,0,0,0,0,25.5,0,0,0,0,0,0,0
Zr,0,0,0,0,0,6.771,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,7.023,0,0,0,0,0,4.949,0
Y+La+Ce,0,0,0,0,6.623,0,8.68,8.549,0,0,0,0,0
Fe+Th,0,0,0,17.6,0,0,0,0,0,0,0,6.42,0
Zr,0,0,0,0,0,11.623,0,0,0,0,0,0,0
Fe+Zr+Ce+Th,0,0,0,93.637,0,121.907,0,9.751,0,0,0,43.376,0
Zr,0,0,0,0,0,134.557,0,0,0,0,0,0,0
Th,0,0,0,0,0,0,0,0,0,0,0,6.865,0
Fe+Zr+Ce+Hf+U,0,0,0,65.751,0,1376.193,0,6.526,0,9.243,0,0,10.922
Al+Fe+Zr+Th,9.468,0,0,19.273,0,22.194,0,0,0,0,0,5.932,0
Fe+Zr+Ce+Hf+Th,0,0,0,160.417,0,338.396,0,6.683,0,5.254,0,19.898,0
Zr+Th,0,0,0,0,0,149.008,0,0,0,0,0,27.749,0
Zr,0,0,0,0,0,7.078,0,0,0,0,0,0,0
Zr+Hf+Th,0,0,0,0,0,175.732,0,0,0,5.177,0,4.477,0
Th,0,0,0,0,0,0,0,0,0,0,0,5.418,0
Fe+Zr+Hf+Th,0,0,0,23.135,0,1234.303,0,0,0,9.188,0,6.871,0
Fe+Zr+Th,0,0,0,21.677,0,7.599,0,0,0,0,0,9.415,0
Fe+Zr+Th,0,0,0,28.593,0,22.419,0,0,0,0,0,12.955,0
Fe+Zr+Th,0,0,0,47.726,0,291.954,0,0,0,0,0,13.61,0
Fe,0,0,0,22.517,0,0,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,162.037,0,58.222,0,0,0,0,0,31.403,0
Fe+Zr+Th,0,0,0,27.643,0,6.511,0,0,0,0,0,7.194,0
Al+Fe+Zr+Ce+Th,7.852,0,0,42.495,0,84.606,0,7.341,0,0,0,27.61,0
46Ti,0,16.045,0,0,0,0,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,34.386,0,114.816,0,0,0,0,0,5.23,0
Fe+Zr+Hf+Th+U,0,0,0,50.719,0,599.724,0,0,0,9.502,0,4.373,10.071
Fe+Zr+Hf+Th,0,0,0,102.878,0,255.824,0,0,0,6.86,0,9.724,0
Zr,0,0,0,0,0,6.87,0,0,0,0,0,0,0
Al+48Ti+Fe+Y+Zr+La+Ce+Hf+Th+U,26.754,0,9.46,1092.656,48.446,7255.502,102.019,159.992,0,190.139,0,275.956,50.859
Fe+Zr+La+Ce+Th,0,0,0,22.94,0,5.717,14.575,20.258,0,0,0,10.988,0
Zr+Th,0,0,0,0,0,12.325,0,0,0,0,0,6.793,0
Th,0,0,0,0,0,0,0,0,0,0,0,8.596,0
Fe+Zr+Hf+Th+U,0,0,0,29.877,0,3209.899,0,0,0,34.752,0,25.011,13.205
Zr,0,0,0,0,0,10.049,0,0,0,0,0,0,0
Zr,0,0,0,0,0,6.991,0,0,0,0,0,0,0
Fe+Zr+Hf+Th,0,0,0,50.652,0,527.644,0,0,0,27.093,0,9.771,0
Zr,0,0,0,0,0,9.015,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,20.256,0,17.929,0,0,0,0,0,4.388,0
Fe+Zr+Th,0,0,0,20.601,0,106.906,0,0,0,0,0,8.997,0
Fe+Zr+Ce+Th,0,0,0,94.331,0,26.708,0,7.016,0,0,0,64.698,0
Fe+Zr+Hf+Th+U,0,0,0,65.567,0,2722.637,0,0,0,23.913,0,6.785,8.787
Zr,0,0,0,0,0,48.555,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,382.036,0,0,0,16.749,0,0,0
Zr,0,0,0,0,0,19.629,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,38.547,0,14.551,0,0,0,0,0,4.828,0
Zr+Th,0,0,0,0,0,6.124,0,0,0,0,0,3.998,0
Th,0,0,0,0,0,0,0,0,0,0,0,5.746,0
Fe+Zr+Th,0,0,0,16.64,0,48.971,0,0,0,0,0,16.687,0
Fe+Zr+Hf+Th,0,0,0,30.03,0,136.124,0,0,0,5.964,0,22.904,0
Zr+Th,0,0,0,0,0,7.693,0,0,0,0,0,7.766,0
Zr,0,0,0,0,0,29.612,0,0,0,0,0,0,0
Zr,0,0,0,0,0,5.717,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,5.443,0,0,0,0,0,4.618,0
Zr+Th,0,0,0,0,0,66.552,0,0,0,0,0,7.429,0
Fe+Y+Zr+La+Ce+Hf+Th,0,0,0,92.158,80.826,5327.625,5.895,17.158,0,101.702,0,46.616,0
Fe+Zr+Th,0,0,0,28.629,0,28.257,0,0,0,0,0,28.481,0
Fe+Y+Zr+La+Ce+Th,0,0,0,410.221,6.213,319.56,10.988,13.303,0,0,0,55.702,0
Fe+Zr,0,0,0,69.875,0,16.538,0,0,0,0,0,0,0
Fe+Zr+La+Ce+Th,0,0,0,50.931,0,28.708,7.919,10.494,0,0,0,21.754,0
Al+Fe+Zr+La+Ce+Hf+Th,10.885,0,0,330.904,0,558.463,8.577,15.964,0,13.392,0,15.912,0
46Ti,0,16.582,0,0,0,0,0,0,0,0,0,0,0
Y+Zr+Th,0,0,0,0,7.662,30.9,0,0,0,0,0,54.921,0
Zr+Th,0,0,0,0,0,8.374,0,0,0,0,0,5.172,0
Zr+Th,0,0,0,0,0,12.052,0,0,0,0,0,7.939,0
Fe+Zr+Hf,0,0,0,35.847,0,981.008,0,0,0,25.418,0,0,0
Fe+Zr+La+Ce+Th,0,0,0,18.649,0,30.87,8.278,13.525,0,0,0,8.055,0
Fe+Zr+Hf+Th,0,0,0,79.072,0,233.144,0,0,0,6.665,0,39.051,0
Al+Fe+Y+Zr+La+Ce+Hf+Pb+Th+U,8.295,0,0,210.811,27.697,14208.135,13.613,32.756,0,75.506,6.617,12.229,72.022
